junction,period_date,traffic_risk,risk_score,year,month,total_accidents,fatal_accidents,injury_accidents,accidents_7d,accidents_30d,accidents_90d,accidents_1y,fatal_accidents_1y,injury_accidents_1y,historical_accident_rate,quarter,is_year_start,month_sin,month_cos,day_of_week,dow_sin,dow_cos,weekend_indicator,accidents_lag_1,accidents_lag_2,accidents_lag_3,accidents_rolling_mean_3,accidents_rolling_std_3,accidents_rolling_mean_6,accidents_rolling_std_6,accidents_trend_3_12,junction_target_enc,junction_ordinal_enc
Airport Square,2021-12-01,LOW,0.0,2021,12,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.167,4,0,-0.0,1.0,2,0.974928,-0.222521,0,0.0,0.0,2.0,0.667,1.155,0.333,0.816,1.334,1.599375,0
Airport Square,2022-01-01,LOW,0.0,2022,1,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.167,1,1,0.5,0.866025,5,-0.974928,-0.222521,1,0.0,0.0,0.0,0.0,0.0,0.333,0.816,0.0,1.599375,0
Airport Square,2022-02-01,LOW,0.0,2022,2,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.167,1,0,0.866025,0.5,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.333,0.816,0.0,1.599375,0
Airport Square,2022-03-01,LOW,0.0,2022,3,0,0,0,0.0,0.0,0.0,2.0,0.0,2.0,0.167,1,0,1.0,0.0,1,0.781831,0.62349,0,0.0,0.0,0.0,0.0,0.0,0.333,0.816,0.0,1.599375,0
Airport Square,2022-04-01,LOW,4.42,2022,4,1,0,1,0.0,0.0,0.0,2.0,0.0,2.0,0.167,2,0,0.866025,-0.5,4,-0.433884,-0.900969,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599375,0
Airport Square,2022-05-01,LOW,0.0,2022,5,0,0,0,1.0,1.0,1.0,3.0,0.0,3.0,0.25,2,0,0.5,-0.866025,6,-0.781831,0.62349,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599375,0
Airport Square,2022-06-01,LOW,4.42,2022,6,1,0,1,0.0,0.0,1.0,3.0,0.0,3.0,0.25,2,0,0.0,-1.0,2,0.974928,-0.222521,0,1.0,0.0,0.0,0.333,0.577,0.167,0.408,0.444,1.599375,0
Airport Square,2022-07-01,LOW,1.1,2022,7,1,0,0,1.0,1.0,2.0,4.0,0.0,4.0,0.333,3,0,-0.5,-0.866025,4,-0.433884,-0.900969,0,0.0,1.0,0.0,0.333,0.577,0.167,0.408,0.333,1.599375,0
Airport Square,2022-08-01,LOW,10.5,2022,8,2,0,1,1.0,1.0,2.0,5.0,0.0,4.0,0.417,3,0,-0.866025,-0.5,0,0.0,1.0,0,1.0,0.0,1.0,0.667,0.577,0.333,0.516,0.534,1.599375,0
Airport Square,2022-09-01,LOW,6.08,2022,9,1,0,1,2.0,2.0,4.0,5.0,0.0,3.0,0.417,3,0,-1.0,-0.0,3,0.433884,-0.900969,0,1.0,1.0,0.0,0.667,0.577,0.5,0.548,0.534,1.599375,0
Airport Square,2022-10-01,LOW,1.1,2022,10,1,0,0,1.0,1.0,4.0,6.0,0.0,4.0,0.5,4,0,-0.866025,0.5,5,-0.974928,-0.222521,1,2.0,1.0,1.0,1.333,0.577,0.833,0.753,0.889,1.599375,0
Airport Square,2022-11-01,LOW,4.97,2022,11,3,0,1,1.0,1.0,4.0,7.0,0.0,4.0,0.583,4,0,-0.5,0.866025,1,0.781831,0.62349,0,1.0,2.0,1.0,1.333,0.577,1.0,0.632,0.762,1.599375,0
Airport Square,2022-12-01,LOW,0.0,2022,12,0,0,0,3.0,3.0,5.0,10.0,0.0,5.0,0.833,4,0,-0.0,1.0,3,0.433884,-0.900969,0,1.0,1.0,2.0,1.333,0.577,1.0,0.632,0.533,1.599375,0
Airport Square,2023-01-01,LOW,9.39,2023,1,1,1,1,0.0,0.0,4.0,10.0,0.0,5.0,0.833,1,1,0.5,0.866025,6,-0.781831,0.62349,1,3.0,1.0,1.0,1.667,1.155,1.5,0.837,0.667,1.599375,0
